lambda1,lambda2,num_tasks,objective_value,objective_value_ci95,task_cost,task_cost_ci95,expected_completion_rate,expected_completion_rate_ci95,runtime_seconds,runtime_seconds_ci95
0.25,0.75,10,21.410973100623377,0.9616007535160456,14.252379788251176,1.3520316965576442,0.33298757396914896,0.014783969996594912,0.0016880393028259276,0.00043480918727254093
0.25,0.75,20,13.681858864904736,1.0167994280110983,23.499967287078704,2.449644806229198,0.26075800915565883,0.019881375662809717,0.0020623111724853514,0.00022956833808730095
0.25,0.75,30,8.022488689597955,0.7127497087247032,26.814476466125484,2.9759544839066745,0.19634810408172435,0.017514197866957328,0.0024181008338928223,0.0002269348750297005
0.25,0.75,40,4.42773768777443,0.5033080972543263,28.05432710936519,3.2486238835919146,0.15255092620154304,0.014792163452421065,0.00284177303314209,0.00036618091643053646
0.25,0.75,50,2.3443437444704798,0.38397475198239256,27.32398936700482,3.0820058302912168,0.12233788114962246,0.012076485522823388,0.0028530383110046387,0.00030701156280997326
0.5,0.5,10,9.523188804331857,0.6668863866245633,14.252379788251176,1.3520316965576442,0.33298757396914896,0.014783969996594912,0.0014833307266235351,0.00011231579439586772
0.5,0.5,20,1.2879168142435884,0.6342627404767391,23.499967287078704,2.449644806229198,0.26075800915565883,0.019881375662809717,0.002116279602050781,0.00020497263438712198
0.5,0.5,30,-3.589833028976523,0.7871878705126516,26.814476466125484,2.9759544839066745,0.19634810408172435,0.017514197866957328,0.0024452805519104004,0.00022620441980809045
0.5,0.5,40,-6.399617244605443,1.0013213332928095,28.05432710936519,3.2486238835919146,0.15255092620154304,0.014792163452421065,0.002645890712738037,0.0002587074526220062
0.5,0.5,50,-7.545100626021288,1.0249396520234484,27.32398936700482,3.0820058302912168,0.12233788114962246,0.012076485522823388,0.002814369201660156,0.00024126822734856892
0.75,0.25,10,-2.364595491959658,0.8636214559109823,14.252379788251176,1.3520316965576442,0.33298757396914896,0.014783969996594912,0.001448049545288086,0.00011940722995307598
0.75,0.25,20,-11.10602523641756,1.4345436291440303,23.499967287078704,2.449644806229198,0.26075800915565883,0.019881375662809717,0.0022445130348205567,0.00019470147171651798
0.75,0.25,30,-15.202154747551,1.8445674446369829,26.814476466125484,2.9759544839066745,0.19634810408172435,0.017514197866957328,0.0023825263977050783,0.0002245334947526437
0.75,0.25,40,-17.226972176985313,2.1061949366732344,28.05432710936519,3.2486238835919146,0.15255092620154304,0.014792163452421065,0.0028175234794616697,0.0003308861885861687
0.75,0.25,50,-17.43454499651305,2.041472279072056,27.32398936700482,3.0820058302912168,0.12233788114962246,0.012076485522823388,0.0026147294044494627,0.0002529290503316837
